status,gasDayStartedOn,gasInStorage,full,trend,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,info
C,01/10/2013,44909,"92,37","0,34","183,44",0,48620,"344,76","530,4",https://agsi.gie.eu/#/news/178
C,02/10/2013,"45092,4","92,74","0,38","184,82",0,48620,"344,76","530,4",character(0)
C,03/10/2013,"45277,2","93,12","0,38","184,47",0,48620,"344,76","530,4",character(0)
C,04/10/2013,"45461,7","93,5","0,38","176,71",0,48620,"344,76","530,4",character(0)
C,05/10/2013,"45638,4","93,87","0,36","168,21",0,48620,"344,76","530,4",character(0)
C,06/10/2013,"45806,6","94,21","0,35","172,02",0,48620,"344,76","530,4",character(0)
C,07/10/2013,"45978,7","94,57","0,35","168,35",0,48620,"344,76","530,4",character(0)
C,08/10/2013,46147,"94,91","0,35","124,95",0,48620,"344,76","530,4",character(0)
C,09/10/2013,46209,"95,04","0,26","167,09",0,48620,"344,76","530,4",character(0)
C,10/10/2013,"46376,1","95,38","0,34","172,8",0,48620,"344,76","530,4",character(0)
C,11/10/2013,"46548,9","95,74","0,36","172,64",0,48620,"344,76","530,4",character(0)
C,12/10/2013,"46721,6","96,1","0,36","130,28",0,48620,"344,76","530,4",character(0)
C,13/10/2013,"46851,9","96,36","0,27","99,11",0,48620,"344,76","530,4",character(0)
C,14/10/2013,46951,"96,57","0,2","148,93",0,48620,"344,76","530,4",character(0)
C,15/10/2013,"47099,9","96,87","0,31",165,0,48620,"344,76","530,4",character(0)
C,16/10/2013,"47264,9","97,21","0,34","149,4",0,48620,"344,76","530,4",character(0)
C,17/10/2013,"47414,3","97,52","0,31","172,39",0,48620,"344,76","530,4",character(0)
C,18/10/2013,"47586,7","97,87","0,35","173,11",0,48620,"344,76","530,4",character(0)
C,19/10/2013,"47759,8","98,23","0,36","130,95",0,48620,"344,76","530,4",character(0)
C,20/10/2013,"47890,7","98,5","0,27","127,62",0,48620,"344,76","530,4",character(0)
C,21/10/2013,"48018,4","98,76","0,26","130,37",0,48620,"344,76","530,4",character(0)
C,22/10/2013,"48147,4","99,03","0,27","105,67",0,48620,"344,76","530,4",character(0)
C,23/10/2013,"48251,6","99,24","0,22","78,01",0,48620,"344,76","530,4",character(0)
C,24/10/2013,"48328,1","99,4","0,16","131,48",0,48620,"344,76","530,4",character(0)
C,25/10/2013,"48458,2","99,67","0,27","130,76",0,48620,"344,76","530,4",character(0)
C,26/10/2013,"48588,1","99,93","0,27","86,03",0,48620,"344,76","530,4",character(0)
C,27/10/2013,48620,100,"0,18","99,56",0,48620,"344,76","530,4",character(0)
C,28/10/2013,48620,100,"0,2","104,39",0,48620,"344,76","530,4",character(0)
C,29/10/2013,48620,100,"0,21","72,2",0,48620,"344,76","530,4",character(0)
C,30/10/2013,48620,100,"0,15",0,50,48620,"344,76","530,4",character(0)
C,31/10/2013,48620,100,"-0,05","0,12",0,48620,"344,76","530,4",character(0)
C,01/11/2013,48620,100,0,0,50,48620,"344,76","530,4",character(0)
C,02/11/2013,48620,100,0,0,50,48620,"344,76","530,4",character(0)
C,03/11/2013,48620,100,"-0,06",0,"80,01",48620,"344,76","530,4",character(0)
C,04/11/2013,48620,100,"-0,16",0,"104,08",48620,"344,76","530,4",character(0)
C,05/11/2013,48620,100,"-0,21",0,50,48620,"344,76","530,4",character(0)
C,06/11/2013,48620,100,"-0,1",0,50,48620,"344,76","530,4",character(0)
C,07/11/2013,"48619,6",100,"-0,07",0,50,48620,"344,76","530,4",character(0)
C,08/11/2013,"48617,1","99,99","-0,01",0,"57,58",48620,"344,76","530,4",character(0)
C,09/11/2013,"48559,5","99,88","-0,12",0,50,48620,"344,76","530,4",character(0)
C,10/11/2013,48526,"99,81","-0,07",0,"96,34",48620,"344,76","530,4",character(0)
C,11/11/2013,"48429,6","99,61","-0,2",0,"95,91",48620,"344,76","530,4",character(0)
C,12/11/2013,"48333,7","99,41","-0,2",0,"192,71",48620,"344,76","530,4",character(0)
C,13/11/2013,48141,"99,01","-0,4",0,"265,48",48620,"344,76","530,4",character(0)
C,14/11/2013,"47875,6","98,47","-0,55",0,"263,09",48620,"344,76","530,4",character(0)
C,15/11/2013,"47612,5","97,93","-0,54",0,280,48620,"344,76","530,4",character(0)
C,16/11/2013,"47330,2","97,35","-0,58",0,280,48620,"344,76","530,4",character(0)
C,17/11/2013,"47031,2","96,73","-0,62",0,"195,61",48620,"344,76","530,4",character(0)
C,18/11/2013,"46835,6","96,33","-0,4",0,"177,81",48620,"344,76","530,4",character(0)
C,19/11/2013,"46657,7","95,96","-0,37",0,280,48620,"344,76","530,4",character(0)
C,20/11/2013,"46284,6","95,2","-0,77",0,280,48620,"344,76","530,4",character(0)
C,21/11/2013,"45916,1","94,44","-0,76",0,"189,68",48620,"344,76","530,4",character(0)
C,22/11/2013,"45726,4","94,05","-0,39",0,"185,71",48620,"344,76","530,4",character(0)
C,23/11/2013,"45540,7","93,67","-0,38",0,280,48620,"344,76","530,4",character(0)
C,24/11/2013,"45226,6","93,02","-0,65",0,280,48620,"344,76","530,4",character(0)
C,25/11/2013,"44874,8","92,3","-0,72",0,280,48620,"344,76","530,4",character(0)
C,26/11/2013,"44491,7","91,51","-0,79",0,280,48620,"344,76","530,4",character(0)
C,27/11/2013,"44161,4","90,83","-0,68",0,280,48620,"344,76","530,4",character(0)
C,28/11/2013,"43827,1","90,14","-0,69",0,"149,12",48620,"344,76","530,4",character(0)
C,29/11/2013,43678,"89,84","-0,31",0,"144,07",48620,"344,76","530,4",character(0)
C,30/11/2013,"43533,9","89,54","-0,3",0,"190,18",48620,"344,76","530,4",character(0)
C,01/12/2013,"43343,7","89,15","-0,39",0,"271,34",48620,"344,76","530,4",character(0)
C,02/12/2013,"43072,4","88,59","-0,56",0,280,48620,"344,76","530,4",character(0)
C,03/12/2013,"42734,9","87,9","-0,69",0,"254,44",48620,"344,76","530,4",character(0)
C,04/12/2013,"42480,4","87,37","-0,52",0,"276,66",48620,"344,76","530,4",character(0)
C,05/12/2013,"42203,8","86,8","-0,57",0,"216,11",48620,"344,76","530,4",character(0)
C,06/12/2013,"41987,6","86,36","-0,44",0,"202,35",48620,"344,76","530,4",character(0)
C,07/12/2013,"41785,3","85,94","-0,42",0,"262,19",48620,"344,76","530,4",character(0)
C,08/12/2013,"41523,1","85,4","-0,54",0,"183,77",48620,"344,76","530,4",character(0)
C,09/12/2013,"41339,3","85,03","-0,38",0,"218,67",48620,"344,76","530,4",character(0)
C,10/12/2013,"41120,3","84,57","-0,45",0,"225,36",48620,"344,76","530,4",character(0)
C,11/12/2013,"40894,9","84,11","-0,46",0,"238,96",48620,"344,76","530,4",character(0)
C,12/12/2013,40656,"83,62","-0,49",0,"132,9",48620,"344,76","530,4",character(0)
C,13/12/2013,40523,"83,35","-0,27",0,"74,55",48620,"344,76","530,4",character(0)
C,14/12/2013,"40448,5","83,19","-0,15",0,"158,96",48620,"344,76","530,4",character(0)
C,15/12/2013,"40289,5","82,87","-0,33",0,"219,24",48620,"344,76","530,4",character(0)
C,16/12/2013,"40070,2","82,42","-0,45",0,"232,49",48620,"344,76","530,4",character(0)
C,17/12/2013,"39837,7","81,94","-0,48",0,280,48620,"344,76","530,4",character(0)
C,18/12/2013,39540,"81,32","-0,61",0,"231,23",48620,"344,76","530,4",character(0)
C,19/12/2013,"39308,8","80,85","-0,48",0,280,48620,"344,76","530,4",character(0)
C,20/12/2013,"39002,5","80,22","-0,63",0,"240,78",48620,"344,76","530,4",character(0)
C,21/12/2013,"38761,7","79,72","-0,5",0,"228,43",48620,"344,76","530,4",character(0)
C,22/12/2013,"38533,3","79,25","-0,47",0,"164,5",48620,"344,76","530,4",character(0)
C,23/12/2013,"38368,8","78,92","-0,34",0,"197,01",48620,"344,76","530,4",character(0)
C,24/12/2013,"38171,8","78,51","-0,41",0,"216,68",48620,"344,76","530,4",character(0)
C,25/12/2013,"37955,1","78,06","-0,45",0,"238,34",48620,"344,76","530,4",character(0)
C,26/12/2013,"37716,7","77,57","-0,49",0,"174,78",48620,"344,76","530,4",character(0)
C,27/12/2013,"37541,9","77,21","-0,36",0,"180,6",48620,"344,76","530,4",character(0)
C,28/12/2013,"37361,3","76,84","-0,37",0,"235,84",48620,"344,76","530,4",character(0)
C,29/12/2013,"37125,5","76,36","-0,49",0,"189,54",48620,"344,76","530,4",character(0)
C,30/12/2013,36936,"75,97","-0,39",0,"79,41",48620,"344,76","530,4",character(0)
C,31/12/2013,"36856,5","75,81","-0,16",0,"100,81",48620,"344,76","530,4",character(0)
C,01/01/2014,"36755,7","75,6","-0,21",0,"199,85",48620,"344,76","530,4",character(0)
C,02/01/2014,"36555,9","75,19","-0,41",0,50,48620,"344,76","530,4",character(0)
C,03/01/2014,"36513,9","75,1","-0,09",0,"51,12",48620,"344,76","530,4",character(0)
C,04/01/2014,"36462,8",75,"-0,11",0,"108,95",48620,"344,76","530,4",character(0)
C,05/01/2014,"36353,8","74,77","-0,22",0,"92,07",48620,"344,76","530,4",character(0)
C,06/01/2014,"36261,7","74,58","-0,19",0,"160,6",48620,"344,76","530,4",character(0)
C,07/01/2014,"36101,1","74,25","-0,33",0,50,48620,"344,76","530,4",character(0)
C,08/01/2014,"36070,4","74,19","-0,06",0,"109,61",48620,"344,76","530,4",character(0)
C,09/01/2014,"35960,8","73,96","-0,23",0,"101,31",48620,"344,76","530,4",character(0)
C,10/01/2014,"35859,5","73,75","-0,21",0,"90,13",48620,"344,76","530,4",character(0)
