status,gasDayStartedOn,gasInStorage,full,trend,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,info
C,01/01/2011,"5574,2","50,62","-0,58",0,45,11011,"74,52","138,53",character(0)
C,02/01/2011,"5466,4","49,64","-0,98",0,45,11011,"74,52","138,53",character(0)
C,03/01/2011,"5358,7","48,67","-0,98",0,45,11011,"74,52","138,53",character(0)
C,04/01/2011,"5270,2","47,86","-0,8",0,45,11011,"74,52","138,53",character(0)
C,05/01/2011,"5181,7","47,06","-0,8",0,"41,5",11011,"74,52","138,53",character(0)
C,06/01/2011,"5140,2","46,68","-0,38","13,63","6,27",11011,"74,52","138,53",character(0)
C,07/01/2011,"5147,5","46,75","0,07",0,17,11011,"74,52","138,53",character(0)
C,08/01/2011,"5137,3","46,66","-0,09",0,45,11011,"74,52","138,53",character(0)
C,09/01/2011,"5030,5","45,69","-0,97",0,45,11011,"74,52","138,53",character(0)
C,10/01/2011,"4927,5","44,75","-0,93",0,45,11011,"74,52","138,53",character(0)
C,11/01/2011,"4828,7","43,85","-0,9",0,45,11011,"74,52","138,53",character(0)
C,12/01/2011,"4752,8","43,16","-0,69","4,5","1,07",11011,"74,52","138,53",character(0)
C,13/01/2011,"4756,3","43,2","0,03","59,98",0,11011,"74,52","138,53",character(0)
C,14/01/2011,"4818,9","43,76","0,54","3,5",0,11011,"74,52","138,53",character(0)
C,15/01/2011,"4822,4","43,8","0,03",0,"36,98",11011,"74,52","138,53",character(0)
C,16/01/2011,"4785,4","43,46","-0,34",0,"25,83",11011,"74,52","138,53",character(0)
C,17/01/2011,"4759,5","43,22","-0,23",0,45,11011,"74,52","138,53",character(0)
C,18/01/2011,"4687,1","42,57","-0,66",0,45,11011,"74,52","138,53",character(0)
C,19/01/2011,"4615,3","41,92","-0,65",0,45,11011,"74,52","138,53",character(0)
C,20/01/2011,"4519,8","41,05","-0,87",0,45,11011,"74,52","138,53",character(0)
C,21/01/2011,"4429,4","40,23","-0,79",0,45,11011,"74,52","138,53",character(0)
C,22/01/2011,"4338,6","39,4","-0,82",0,45,11011,"74,52","138,53",character(0)
C,23/01/2011,"4250,7","38,6","-0,8",0,45,11011,"74,52","138,53",character(0)
C,24/01/2011,"4166,8","37,84","-0,76",0,45,11011,"74,52","138,53",character(0)
C,25/01/2011,"4081,8","37,07","-0,77",0,45,11011,"74,52","138,53",character(0)
C,26/01/2011,4002,"36,35","-0,73",0,45,11011,"74,52","138,53",character(0)
C,27/01/2011,"3921,6","35,62","-0,73",0,45,11011,"74,52","138,53",character(0)
C,28/01/2011,"3842,1","34,89","-0,72",0,45,11011,"74,52","138,53",character(0)
C,29/01/2011,"3762,1","34,17","-0,73",0,45,11011,"74,52","138,53",character(0)
C,30/01/2011,3682,"33,44","-0,73",0,45,11011,"74,52","138,53",character(0)
C,31/01/2011,"3600,6","32,7","-0,74",0,45,11011,"74,52","138,53",character(0)
C,01/02/2011,"3522,3","31,99","-0,71",0,45,11011,"74,52","138,53",character(0)
C,02/02/2011,"3442,7","31,27","-0,72",0,"44,84",11011,"74,52","138,53",character(0)
C,03/02/2011,"3397,8","30,86","-0,41",0,17,11011,"74,52","138,53",character(0)
C,04/02/2011,"3389,9","30,79","-0,07",0,17,11011,"74,52","138,53",character(0)
C,05/02/2011,"3381,8","30,71","-0,07",0,"29,88",11011,"74,52","138,53",character(0)
C,06/02/2011,"3351,9","30,44","-0,27",0,"44,93",11011,"74,52","138,53",character(0)
C,07/02/2011,3307,"30,03","-0,41",0,45,11011,"74,52","138,53",character(0)
C,08/02/2011,"3247,9","29,5","-0,54",0,45,11011,"74,52","138,53",character(0)
C,09/02/2011,3193,29,"-0,5",0,17,11011,"74,52","138,53",character(0)
C,10/02/2011,"3176,1","28,84","-0,15",0,17,11011,"74,52","138,53",character(0)
C,11/02/2011,"3166,7","28,76","-0,09",0,17,11011,"74,52","138,53",character(0)
C,12/02/2011,"3157,3","28,67","-0,09",0,"24,7",11011,"74,52","138,53",character(0)
C,13/02/2011,"3132,6","28,45","-0,22",0,45,11011,"74,52","138,53",character(0)
C,14/02/2011,"3081,7","27,99","-0,46",0,"21,17",11011,"74,52","138,53",character(0)
C,15/02/2011,"3060,5","27,79","-0,19",0,45,11011,"74,52","138,53",character(0)
C,16/02/2011,"2990,8","27,16","-0,63",0,45,11011,"74,52","138,53",character(0)
C,17/02/2011,"2939,3","26,69","-0,47",0,17,11011,"74,52","138,53",character(0)
C,18/02/2011,"2930,8","26,62","-0,07",0,"33,41",11011,"74,52","138,53",character(0)
C,19/02/2011,"2897,4","26,31","-0,3",0,45,11011,"74,52","138,53",character(0)
C,20/02/2011,"2826,3","25,67","-0,65",0,45,11011,"74,52","138,53",character(0)
C,21/02/2011,"2754,2","25,01","-0,65",0,45,11011,"74,52","138,53",character(0)
C,22/02/2011,"2683,5","24,37","-0,64",0,45,11011,"74,52","138,53",character(0)
C,23/02/2011,"2613,1","23,73","-0,64",0,45,11011,"74,52","138,53",character(0)
C,24/02/2011,"2546,7","23,13","-0,6",0,"42,12",11011,"74,52","138,53",character(0)
C,25/02/2011,"2504,6","22,75","-0,38","8,56","25,56",11011,"74,52","138,53",character(0)
C,26/02/2011,"2499,1","22,7","-0,05",0,45,11011,"74,52","138,53",character(0)
C,27/02/2011,"2432,8","22,09","-0,58",0,45,11011,"74,52","138,53",character(0)
